# prefix,country_code,region_code,city,postal

45.12.24.0/24,UA,,Lviv,79003
45.12.25.0/24,UA,,Lviv,79003
45.12.26.0/24,UA,,Lviv,79003
45.87.90.0/24,UA,,Lviv,79003
45.87.91.0/24,UA,,Lviv,79003
62.204.51.0/24,UA,,Lviv,79003
91.225.200.0/24,UA,,Lviv,79003
91.225.201.0/24,UA,,Lviv,79003
91.225.202.0/24,UA,,Lviv,79003
91.245.72.0/21,UA,,Lviv,79003
95.141.245.0/24,UA,,Lviv,79003
176.111.42.0/24,UA,,Lviv,79003
176.111.43.0/24,UA,,Lviv,79003
185.5.252.0/24,UA,,Lviv,79003
185.5.253.0/24,UA,,Lviv,79003
185.46.143.0/24,UA,,Lviv,79003
185.136.134.0/24,UA,,Lviv,79003
185.167.78.0/24,UA,,Lviv,79003
193.38.255.0/24,UA,,Lviv,79003
193.93.216.0/22,UA,,Lviv,79003
212.23.203.0/24,UA,,Lviv,79003
2001:678:604::/48,UA,,Lviv,79003
2a10:2f40::/48,UA,,Lviv,79003
2a10:2f40:1::/48,UA,,Lviv,79003
2a10:2f40:2::/48,UA,,Lviv,79003
2a10:2f40:3::/48,UA,,Lviv,79003
2a10:2f40:4::/48,UA,,Lviv,79003
2a10:2f40:5::/48,UA,,Lviv,79003
2a10:2f40:9::/48,UA,,Lviv,79003
2a10:2f40:a::/48,UA,,Lviv,79003
2a10:2f40:b::/48,UA,,Lviv,79003
2a10:2f40:c::/48,UA,,Lviv,79003
2a10:2f40:d::/48,UA,,Lviv,79003
2a10:2f40:1a::/48,UA,,Lviv,79003
2a10:2f40:d1::/48,UA,,Lviv,79003
2a10:2f40:d2::/48,UA,,Lviv,79003
2a10:2f40:d3::/48,UA,,Lviv,79003
2a10:2f40:d4::/48,UA,,Lviv,79003
